id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp0000mr7,1977-02-26 22:43:48.900000+00:00,4.7,mb,10.0,28.529,-20.835,290.39,129.713
usp0003v2e,1989-05-09 02:30:37.860000+00:00,5.0,mw,23.3,28.071,-16.156,178.07,56.311
usp0003zk0,1989-09-14 19:41:19.130000+00:00,3.6,md,10.0,30.546,-14.963,353.956,560.982
usp0004410,1990-01-08 21:23:08.200000+00:00,3.2,mblg,10.0,28.313,-16.925,97.959,246.062
usp00049j2,1990-05-20 11:20:10.700000+00:00,3.9,md,33.0,29.403,-16.86,131.65,147.714
usp0004a5y,1990-06-05 21:04:25.350000+00:00,3.6,mblg,33.0,27.837,-17.995,87.279,138.328
usp0004a76,1990-06-07 05:08:29.280000+00:00,3.1,mblg,33.0,27.825,-18.041,89.357,251.841
usp0004ada,1990-06-11 22:48:54.910000+00:00,2.7,mblg,33.0,29.184,-16.902,113.453,506.777
usp0004dkc,1990-08-18 13:46:27.560000+00:00,3.0,md,33.0,27.861,-16.418,164.84,521.269
usp0004emy,1990-09-12 17:05:40.800000+00:00,3.3,mblg,33.0,27.852,-17.962,85.209,190.76
usp0004jng,1990-12-23 06:08:13.480000+00:00,3.5,md,10.0,30.5,-14.985,349.214,621.001
usp0004n0f,1991-02-16 11:59:18.100000+00:00,3.6,md,10.0,27.907,-17.775,79.073,125.322
usp0004pbd,1991-03-21 13:31:56.450000+00:00,4.7,mb,10.0,27.304,-18.585,161.933,72.333
usp00054rv,1992-03-24 10:40:58.430000+00:00,3.4,md,10.0,28.848,-16.871,100.604,200.732
usp00057fr,1992-05-16 16:57:26.040000+00:00,3.3,mblg,10.0,28.137,-16.093,181.561,406.464
usp0005dx8,1992-09-12 16:49:44.330000+00:00,3.4,md,10.0,27.922,-17.795,77.212,154.058
usp0005qxh,1993-04-09 16:04:30.310000+00:00,3.1,mblg,10.0,28.037,-16.899,114.407,322.442
usp0005tre,1993-05-30 07:00:17.220000+00:00,3.3,md,5.0,29.896,-16.743,179.728,402.361
usp0006b0r,1994-04-13 05:29:09.910000+00:00,3.3,mblg,33.0,27.698,-15.077,292.058,653.837
usp0006b24,1994-04-14 05:29:11.590000+00:00,3.3,md,33.0,28.051,-15.088,279.295,625.263
usp0006dde,1994-05-30 15:12:35.550000+00:00,3.4,mblg,10.0,29.026,-14.537,327.923,654.292
usp0006evm,1994-06-27 01:57:00.400000+00:00,2.3,mblg,10.0,29.138,-16.202,172.428,1220.699
usp000791j,1995-12-15 16:00:11.610000+00:00,2.9,mblg,10.0,29.161,-16.778,122.36,434.15
usp0007bbp,1996-01-19 06:15:56.860000+00:00,3.3,mblg,33.0,29.306,-16.403,162.057,362.8
usp0008ecq,1998-01-15 08:44:31.400000+00:00,3.8,mblg,2.4,27.55,-17.7,119.427,150.349
usp0008fy2,1998-02-13 17:01:03.300000+00:00,3.1,mblg,0.0,28.78,-15.49,232.76,656.007
usp0008gt5,1998-03-02 01:51:18.600000+00:00,3.3,mblg,15.6,27.87,-15.0,292.973,655.884
usp0008hug,1998-03-22 04:27:31.300000+00:00,3.9,mb,0.0,27.7,-17.67,103.416,116.035
usp0008jhs,1998-04-04 02:10:00.900000+00:00,2.9,mblg,16.9,29.45,-15.93,210.228,745.917
usp0008p49,1998-06-01 05:48:56.700000+00:00,3.6,mblg,0.0,28.6,-14.49,329.94,522.919
usp0008pfa,1998-06-06 21:50:34+00:00,4.3,mb,9.6,28.66,-14.56,323.047,228.7
usp0008r61,1998-07-08 15:27:48.600000+00:00,3.7,mblg,15.5,27.97,-16.13,184.605,260.761
usp0008sju,1998-08-01 00:22:18.700000+00:00,3.7,mblg,15.3,28.37,-15.57,226.26,319.601
usp00096bc,1999-04-15 11:07:32.700000+00:00,3.3,mblg,0.0,27.87,-16.11,191.035,427.675
usp00099ed,1999-06-07 04:25:57.400000+00:00,2.9,mblg,0.0,29.17,-17.79,62.471,221.657
usp0009cbb,1999-07-31 00:51:32.700000+00:00,3.2,mblg,0.0,29.13,-14.39,343.703,863.342
usp0009e2g,1999-09-06 05:06:05.600000+00:00,2.4,mblg,22.2,28.5,-15.55,226.806,1431.046
usp0009e33,1999-09-06 15:03:22.700000+00:00,3.0,mblg,15.0,28.18,-16.15,174.817,552.82
usp0009es2,1999-09-21 00:47:36.100000+00:00,2.8,mblg,0.0,28.1,-16.19,173.832,692.037
usp0009f2j,1999-09-26 17:45:25.700000+00:00,3.0,mblg,21.3,28.09,-15.79,211.547,668.971
usp0009mzq,2000-02-03 06:53:47.300000+00:00,2.7,ml,16.1,28.651,-14.994,280.649,1253.613
usp0009u1x,2000-06-05 11:12:03.400000+00:00,3.3,mblg,18.8,28.044,-16.205,174.647,390.986
usp000a1nq,2000-10-12 09:41:44.700000+00:00,2.9,mblg,15.4,27.482,-15.649,251.569,892.6
usp000a857,2001-01-22 16:35:16.280000+00:00,3.3,mblg,10.0,29.492,-14.47,344.655,771.586
usp000a8xq,2001-02-02 18:26:27.670000+00:00,3.0,mblg,0.0,27.991,-15.04,285.501,902.834
usp000ab4f,2001-03-09 00:55:09.600000+00:00,3.4,mblg,30.0,27.425,-17.577,135.24,269.839
usp000ab7y,2001-03-11 15:02:47.610000+00:00,2.9,mblg,0.0,28.058,-16.168,177.472,629.695
usp000amga,2001-08-15 03:30:27.850000+00:00,3.1,mblg,20.4,28.441,-16.66,119.502,336.802
usp000apxn,2001-09-28 10:54:12.720000+00:00,2.6,mblg,15.0,28.198,-15.025,281.99,1413.297
usp000arf9,2001-10-22 22:18:05.240000+00:00,2.5,mblg,0.0,28.237,-16.371,152.228,856.04
usp000arkz,2001-10-25 05:04:11.910000+00:00,2.9,mblg,0.0,28.131,-16.209,170.939,606.513
usp000as2f,2001-11-02 01:24:18.310000+00:00,2.4,mblg,8.8,28.249,-16.356,153.274,967.093
usp000asaq,2001-11-06 02:48:40.430000+00:00,2.9,mblg,0.0,28.28,-16.425,145.836,517.446
usp000at23,2001-11-18 02:46:28.130000+00:00,2.9,mblg,0.0,28.178,-16.248,165.68,587.854
usp000atet,2001-11-25 04:49:34.640000+00:00,2.9,mblg,29.6,28.852,-15.883,195.397,693.296
usp000atkp,2001-11-27 19:56:02.730000+00:00,2.6,mblg,0.0,28.106,-16.244,168.615,845.079
usp000atsf,2001-11-30 22:59:37.020000+00:00,2.5,mblg,0.0,27.542,-17.859,119.2,670.31
usp000au78,2001-12-08 01:36:53.190000+00:00,2.7,mblg,0.0,27.814,-16.566,155.468,694.452
usp000aujw,2001-12-13 19:06:59.810000+00:00,2.6,mblg,0.0,27.787,-14.363,355.74,1782.923
usp000avrp,2002-01-03 10:35:28.840000+00:00,2.5,mblg,1.5,27.733,-14.981,299.567,1684.588
